window_size,lookback_min,model,epochs_run,train_sec,MAE,RMSE,MAPE_%,MAE_veh,RMSE_veh
4,60,lstm,50,189.2,0.0279,0.041,21.19,24.38,38.78
4,60,gru,28,123.4,0.0286,0.0417,20.14,24.98,39.35
4,60,transformer,19,168.8,0.0293,0.0422,26.33,25.6,39.66
8,120,lstm,50,253.2,0.0279,0.0406,20.3,24.29,38.28
8,120,gru,32,219.5,0.0281,0.041,20.86,24.48,38.58
8,120,transformer,19,263.6,0.0287,0.0415,25.89,25.1,39.16
12,180,lstm,50,316.1,0.0282,0.0408,22.56,24.64,38.6
12,180,gru,30,279.1,0.0284,0.0414,19.84,24.76,38.87
12,180,transformer,32,622.7,0.0293,0.0421,24.34,25.6,39.56
16,240,lstm,50,391.4,0.0281,0.0405,21.97,24.55,38.28
16,240,gru,50,575.7,0.0281,0.0407,22.15,24.48,38.34
16,240,transformer,50,1280.6,0.029,0.0416,23.07,25.3,39.14
24,360,lstm,50,476.7,0.0282,0.0405,22.47,24.67,38.35
24,360,gru,50,819.3,0.0284,0.041,22.51,24.82,38.67
24,360,transformer,31,1140.0,0.0302,0.0428,24.08,26.35,40.28
32,480,lstm,50,603.9,0.0283,0.0409,20.67,24.73,38.72
32,480,gru,50,1058.0,0.0287,0.0415,22.23,25.02,39.09
32,480,transformer,50,2985.8,0.0296,0.0421,25.48,25.83,39.78
48,720,lstm,50,1176.9,0.0279,0.0403,23.37,24.4,38.17
48,720,gru,50,2221.8,0.0283,0.0409,20.39,24.63,38.48
48,720,transformer,36,3446.2,0.029,0.0414,23.0,25.31,39.03
